"hbw_name","wikidata_qid","hex","type","is_natural_plumage"
"starlight","Q114877269","F0ECE6","General",TRUE
"steel","Q106056288","738595","General",TRUE
"stout","Q106006649","3B2814","General",TRUE
"sulphur","Q115208329","E5BB26","General",TRUE
"sulu","Q128807812","C6EA80","General",TRUE
"sumi-iro","Q11429442","343434","General",TRUE
"sunset red","Q124302644","EF4136","General",TRUE
"swamp green","Q4009900","ACB78E","General",TRUE
"swarthy","Q115733603","5E5C59","General",TRUE
"taupe","Q2307593","483C32","General",TRUE
"teal blue","Q56881339","367588","General",TRUE
"technobotanica","Q108219690","00FFC0","General",TRUE
"thistle","Q90809566","D8BFD8","General",TRUE
"tile red","Q115859278","7D2917","General",TRUE
"titanium","Q105995092","878681","General",TRUE
"tomato","Q93704722","FF6347","General",TRUE
"turquoise surf","Q77459172","00AFCA","Iridescent",TRUE
"turtledove","Q3535555","BBACAC","General",TRUE
"ukon","Q11673366","FABF14","General",TRUE
"ultramarine","Q17990717","120A8F","General",TRUE
"violet red","Q115858149","F75394","General",TRUE
"vivid sky blue","Q56528582","00CCFF","General",TRUE
"walnut brown","Q137374868","5C5248","Pigmentary",TRUE
"watermelon","Q24820286","FC6C85","General",TRUE
"white wash","Q133278763","F2F4EF","Pigmentary",TRUE
"whitish","Q119984045","F3F2ED","General",TRUE
"wisteria","Q13417144","AFB4DB","General",TRUE
"wood","Q105997630","966F33","General",TRUE
"yellow no. 1","Q11677707","FDBC00","General",TRUE
"yellowish-orange","Q124327868","FFAB0F","General",TRUE
"yellowish-red","Q124327877","EC5300","General",TRUE
"yellowish-white","Q115121358","E9F1D0","Pigmentary",TRUE
"yolk yellow","Q99211754","E2B051","General",TRUE
"young shoot color","Q18459573","E0EBAF","General",TRUE
"Amarillo selectivo","Q2293227","FFBA00","General",TRUE
"Azul YInMn","Q25112525","2E5090","General",TRUE
"Azul claro","Q4405716","99FF99","General",TRUE
"Barbecho (color)","Q3738728","C19A6B","General",TRUE
"Chifón de limón","Q3832523","FFFACD","General",TRUE
"Crudo (color)","Q1970335","CDB891","General",TRUE
"Eigengrau","Q492305","16161D","General",TRUE
"International Klein Blue","Q534583","0033CC","General",TRUE
"Marengo","Q4281308","4C5866","General",TRUE
"Pantone 448C","Q24885519","4A412A","General",TRUE
"Parma","Q3365600","CFA0E9","General",TRUE
"Pizarra","Q1411452","708090","General",TRUE
"RAL 1000","Q35793593","CDBA88","General",TRUE
"RAL 1001","Q35793728","D0B084","General",TRUE
"RAL 1002","Q35795072","C6A664","General",TRUE
"RAL 1003","Q35795226","E5BE01","General",TRUE
"RAL 1004","Q35795382","CDA434","General",TRUE
"RAL 1005","Q35795538","CB8E00","General",TRUE
"RAL 1006","Q35795684","E4A010","General",TRUE
"RAL 1007","Q35795841","DC9D00","General",TRUE
"RAL 1011","Q35795992","8A6642","General",TRUE
"RAL 1012","Q35796144","C7B446","General",TRUE
"RAL 1013","Q35796311","E3D9C6","General",TRUE
"RAL 1014","Q35796473","E1CC4F","General",TRUE
"RAL 1015","Q35796616","E6D690","General",TRUE
"RAL 1016","Q35796790","F3DE38","General",TRUE
"RAL 1017","Q35796948","F5D033","General",TRUE
"RAL 1018","Q35797128","F8F32B","General",TRUE
"RAL 1019","Q35797302","9E9764","General",TRUE
"RAL 1020","Q35797485","999950","General",TRUE
"RAL 1021","Q35797659","F3DA0B","General",TRUE
"RAL 1023","Q2516200","F0CA00","General",TRUE
"RAL 1024","Q35798026","AEA04B","General",TRUE
"RAL 1026","Q35798190","FFFF00","General",TRUE
"RAL 1027","Q35798358","9D9101","General",TRUE
"RAL 1028","Q35798536","F4A900","General",TRUE
"RAL 1032","Q35798732","D6AE01","General",TRUE
"RAL 1033","Q35798896","F3A505","General",TRUE
"RAL 1034","Q35799063","EFA94A","General",TRUE
"RAL 1035","Q35799241","6A5D4D","General",TRUE
"RAL 1036","Q35799419","705335","General",TRUE
"RAL 1037","Q35799583","F39F18","General",TRUE
"RAL 2000","Q35799734","ED760E","General",TRUE
"RAL 2001","Q35799892","C93C20","General",TRUE
"RAL 2002","Q13358072","C63927","General",TRUE
"RAL 2003","Q35800169","FF7514","General",TRUE
"RAL 2004","Q35800284","E75B12","General",TRUE
"RAL 2005","Q35800454","FF2301","General",TRUE
"RAL 2007","Q35800613","FFA420","General",TRUE
"RAL 2008","Q35800800","F75E25","General",TRUE
"RAL 2009","Q35800967","F54021","General",TRUE
"RAL 2010","Q35801141","D84B20","General",TRUE
"RAL 2011","Q35801301","EC7C26","General",TRUE
"RAL 2012","Q35801444","E55137","General",TRUE
"RAL 2013","Q35801605","C35831","General",TRUE
"RAL 3000","Q35801762","A72920","General",TRUE
"RAL 3001","Q35801923","A52019","General",TRUE
"RAL 3002","Q35802093","A2231D","General",TRUE
"RAL 3003","Q35802262","9B111E","General",TRUE
"RAL 3004","Q35802428","75151E","General",TRUE
"RAL 3005","Q35802591","5E2129","General",TRUE
"RAL 3007","Q35802763","412227","General",TRUE
"RAL 3009","Q35802922","642424","General",TRUE
"RAL 3011","Q35803095","781F19","General",TRUE
"RAL 3012","Q35803253","C1876B","General",TRUE
"RAL 3013","Q35803426","A12312","General",TRUE
"RAL 3014","Q35803580","D36E70","General",TRUE
"RAL 3015","Q35803747","EA899A","General",TRUE
"RAL 3016","Q35803934","B32821","General",TRUE
"RAL 3017","Q35804095","CB555D","General",TRUE
"RAL 3018","Q35804261","D53032","General",TRUE
"RAL 3022","Q35804596","D95030","General",TRUE
"RAL 3024","Q35804763","F80000","General",TRUE
"RAL 3026","Q35804944","FE0000","General",TRUE
"RAL 3027","Q35805100","C51D34","General",TRUE
"RAL 3028","Q35805337","CB3234","General",TRUE
"RAL 3031","Q35805516","B32428","General",TRUE
"RAL 3032","Q35805700","721422","General",TRUE
"RAL 3033","Q35805864","B44C43","General",TRUE
"RAL 4001","Q35806038","6D3F5B","General",TRUE
"RAL 4002","Q35806218","922B3E","General",TRUE
"RAL 4003","Q35806380","DE4C8A","General",TRUE
"RAL 4004","Q35806548","641C34","General",TRUE
"RAL 4005","Q35806720","6C4675","General",TRUE
"RAL 4006","Q35806872","A03472","General",TRUE
"RAL 4007","Q35807030","4A192C","General",TRUE
"RAL 4008","Q35807203","924E7D","General",TRUE
"RAL 4009","Q35807372","A18594","General",TRUE
"RAL 4010","Q35807553","CF3476","General",TRUE
"RAL 4011","Q35807728","8673A1","General",TRUE
"RAL 4012","Q35807896","6C6874","General",TRUE
"RAL 5000","Q35808039","354D73","General",TRUE
"RAL 5001","Q35808196","1F3438","General",TRUE
"RAL 5002","Q35808373","20214F","General",TRUE
"RAL 5003","Q35808558","1D1E33","General",TRUE
"RAL 5004","Q35808729","18171C","General",TRUE
"RAL 5005","Q35808900","1E2460","General",TRUE
"RAL 5007","Q35809074","3E5F8A","General",TRUE
"RAL 5008","Q35809237","26252D","General",TRUE
"RAL 5009","Q35809404","025669","General",TRUE
"RAL 5010","Q35809569","0E294B","General",TRUE
"RAL 5011","Q35809740","231A24","General",TRUE
"RAL 5012","Q35809904","3B83BD","General",TRUE
"RAL 5013","Q35810083","1E213D","General",TRUE
"RAL 5014","Q35810264","606E8C","General",TRUE
"RAL 5015","Q35810428","2271B3","General",TRUE
"RAL 5017","Q35810592","063971","General",TRUE
"RAL 5018","Q35810779","3F888F","General",TRUE
"RAL 5019","Q35810954","1B5583","General",TRUE
"RAL 5020","Q35811125","1D334A","General",TRUE
"RAL 5021","Q35811295","256D7B","General",TRUE
"RAL 5022","Q35811470","252850","General",TRUE
"RAL 5023","Q35811636","49678D","General",TRUE
"RAL 5024","Q35811807","5D9B9B","General",TRUE
"RAL 5025","Q35811976","2A6478","General",TRUE
"RAL 5026","Q35812161","102C54","General",TRUE
"RAL 6000","Q35812322","316650","General",TRUE
"RAL 6001","Q35812487","287233","General",TRUE
"RAL 6002","Q35812667","2D572C","General",TRUE
"RAL 6003","Q35812856","424632","General",TRUE
"RAL 6004","Q35813035","1F3A3D","General",TRUE
"RAL 6005","Q35813207","2F4538","General",TRUE
"RAL 6006","Q35813393","3E3B32","General",TRUE
"RAL 6007","Q35813581","283524","General",TRUE
"RAL 6008","Q35813758","39352A","General",TRUE
"RAL 6009","Q35813945","31372B","General",TRUE
"RAL 6010","Q35814136","35682D","General",TRUE
"RAL 6011","Q35814313","587246","General",TRUE
"RAL 6012","Q35814483","343E40","General",TRUE
"RAL 6013","Q35814649","6C7156","General",TRUE
"RAL 6014","Q35814811","47402E","General",TRUE
"RAL 6015","Q35814991","3B3C36","General",TRUE
"RAL 6016","Q35815162","1E5945","General",TRUE
"RAL 6017","Q35815337","4C9141","General",TRUE
"RAL 6018","Q13357866","57A639","General",TRUE
"RAL 6019","Q35815706","BDECB6","General",TRUE
"RAL 6020","Q35815886","2E3A23","General",TRUE
"RAL 6022","Q35816261","25221B","General",TRUE
"RAL 6024","Q35816446","308446","General",TRUE
"RAL 6025","Q35816544","3D642D","General",TRUE
"RAL 6026","Q35816689","015D52","General",TRUE
"RAL 6027","Q35816857","84C3BE","General",TRUE
"RAL 6028","Q35817028","2C5545","General",TRUE
"RAL 6029","Q35817203","20603D","General",TRUE
"RAL 6032","Q35817385","317F43","General",TRUE
"RAL 6033","Q35817562","497E76","General",TRUE
"RAL 6034","Q35817739","7FB5B5","General",TRUE
"RAL 6035","Q35817930","1C542D","General",TRUE
"RAL 6036","Q35818103","193737","General",TRUE
"RAL 6037","Q35818292","008F39","General",TRUE
"RAL 6038","Q35818476","00BB2D","General",TRUE
"RAL 7000","Q35818661","78858B","General",TRUE
"RAL 7001","Q35818841","8A9597","General",TRUE
"RAL 7002","Q35819005","7E7B52","General",TRUE
"RAL 7003","Q35819195","6C7059","General",TRUE
"RAL 7004","Q35819377","969992","General",TRUE
"RAL 7005","Q35819554","6B716F","General",TRUE
"RAL 7006","Q35819720","6D6552","General",TRUE
"RAL 7008","Q35819884","6A5F31","General",TRUE
"RAL 7009","Q35820076","4D5645","General",TRUE
"RAL 7010","Q35820266","4C514A","General",TRUE
"RAL 7011","Q35820436","52595D","General",TRUE
"RAL 7012","Q35820622","4E5754","General",TRUE
"RAL 7013","Q35820797","464531","General",TRUE
"RAL 7015","Q35820981","434750","General",TRUE
"RAL 7016","Q35821163","293133","General",TRUE
"RAL 7021","Q35821341","23282B","General",TRUE
"RAL 7022","Q35821522","332F2C","General",TRUE
"RAL 7023","Q35821726","686C5E","General",TRUE
"RAL 7024","Q35821881","474A51","General",TRUE
"RAL 7026","Q35822050","2F353B","General",TRUE
"RAL 7030","Q35822205","8B8C7A","General",TRUE
"RAL 7031","Q35822371","474B4E","General",TRUE
"RAL 7032","Q35822512","B8B799","General",TRUE
"RAL 7033","Q35822662","7D8471","General",TRUE
"RAL 7034","Q35822819","8F8B66","General",TRUE
"RAL 7035","Q35823000","CBD0CC","General",TRUE
"RAL 7036","Q35823169","7F7679","General",TRUE
"RAL 7037","Q35823333","7D7F7D","General",TRUE
"RAL 7038","Q35823477","B5B8B1","General",TRUE
"RAL 7039","Q35823628","6C6960","General",TRUE
"RAL 7040","Q35823792","9DA1AA","General",TRUE
"RAL 7042","Q35823954","8D948D","General",TRUE
"RAL 7043","Q35824114","4E5452","General",TRUE
"RAL 7044","Q35824273","CAC4B0","General",TRUE
"RAL 7045","Q35824528","909090","General",TRUE
"RAL 7046","Q35824675","82898F","General",TRUE
"RAL 7047","Q35824816","D0D0D0","General",TRUE
"RAL 7048","Q35824957","898176","General",TRUE
"RAL 8000","Q35825105","826C34","General",TRUE
"RAL 8001","Q35825266","955F20","General",TRUE
"RAL 8002","Q35825438","6C3B2A","General",TRUE
"RAL 8003","Q35825605","7E4B26","General",TRUE
"RAL 8004","Q35825779","8E402A","General",TRUE
"RAL 8007","Q35825917","59351F","General",TRUE
"RAL 8008","Q35826061","6F4F28","General",TRUE
"RAL 8011","Q35826203","5B3A29","General",TRUE
"RAL 8012","Q35826345","592321","General",TRUE
"RAL 8014","Q35826472","382C1E","General",TRUE
"RAL 8015","Q35826550","633A34","General",TRUE
"RAL 8016","Q35826631","4C2F27","General",TRUE
"RAL 8017","Q35826695","45322E","General",TRUE
"RAL 8019","Q35826768","403A3A","General",TRUE
"RAL 8022","Q35826841","212121","General",TRUE
"RAL 8023","Q35826914","A65E2E","General",TRUE
"RAL 8024","Q35826979","79553D","General",TRUE
"RAL 8025","Q35827047","755C48","General",TRUE
"RAL 8028","Q35827109","4E3B31","General",TRUE
"RAL 8029","Q35827172","763C28","General",TRUE
"RAL 9001","Q35827236","FDF4E3","General",TRUE
"RAL 9002","Q35827305","E7EBDA","General",TRUE
"RAL 9003","Q35827385","F4F4F4","General",TRUE
"RAL 9004","Q35827472","282828","General",TRUE
"RAL 9005","Q35827533","0E0E10","General",TRUE
"RAL 9006","Q35827598","A5A5A5","General",TRUE
"RAL 9007","Q35827657","8F8F8F","General",TRUE
"RAL 9010","Q35827716","F1ECE1","General",TRUE
"RAL 9011","Q35827776","1C1C1C","General",TRUE
"RAL 9016","Q35827855","F6F6F6","General",TRUE
"RAL 9017","Q35827923","1E1E1E","General",TRUE
"RAL 9018","Q35827995","CFD3CD","General",TRUE
"RAL 9022","Q35828068","9C9C9C","General",TRUE
"RAL 9023","Q35828132","828282","General",TRUE
"Rojo pompeyano","Q3941700","A22E37","General",TRUE
"Rosa naranja","Q5402922","FF9966","General",TRUE
"Rosicler","Q11515057","F19072","General",TRUE
"Shocking pink","Q75737","FF69B4","General",TRUE
"Verde bosque","Q17105502","228B22","General",TRUE
"Verde primavera","Q373787","00FF7F","General",TRUE
"aguamarina","Q372973","7FFFD4","General",TRUE
"albaricoque","Q1324818","FFE5B4","General",TRUE
"alice blue","Q372669","F0F8FF","General",TRUE
"amaranto","Q454847","E52B50","General",TRUE
"amarillento","Q115413960","FFFFE0","General",TRUE
"amarillo","Q27777837","FFFF00","General",TRUE
"amarillo","Q943","FFFF00","General",TRUE
"amarillo Nápoles","Q899295","F7E89F","General",TRUE
"amarillo brillante","Q116787059","FFFF00","General",TRUE
"amarillo cadmio","Q3762375","FFF600","General",TRUE
"amarillo indio","Q55611196","E3A857","General",TRUE
"amarillo pálido","Q119953849","FFFFA7","General",TRUE
"amarillo-verde","Q21864306","9ACD32","General",TRUE
"amatista","Q2631989","9966CC","General",TRUE
"ante","Q2085487","F0DC82","General",TRUE
"aqua","Q372733","00FFFF","General",TRUE
"arena","Q9303163","EDC9AF","General",TRUE
"avellana","Q17122740","5A391C","General",TRUE
"azafrán","Q2725283","F4C430","General",TRUE
"azul","Q17122834","608090","General",TRUE
"azul","Q1088","0000FF","General",TRUE
"azul Bondi","Q10862213","0095B6","General",TRUE
"azul Eton","Q5404819","96C8A2","General",TRUE
"azul Francia","Q953243","002366","General",TRUE
"azul Tiffany","Q950159","81D8D0","General",TRUE
"azul acero","Q1003676","4682B4","General",TRUE
"azul aciano","Q2021643","6495ED","General",TRUE
"azul carreta","Q2906465","8EA2C6","General",TRUE
"azul claro","Q61600018","6888A0","General",TRUE
"azul cobalto","Q425278","0047AB","General",TRUE
"azul de Duke","Q5312932","012169","General",TRUE
"azul egipcio","Q253181","1034A6","General",TRUE
"azul eléctrico","Q373586","7DF9FF","General",TRUE
"azul eléctrico iridiscente","Q23931911","3137FD","General",TRUE
"azul eléctrico profundo","Q23931909","2C75FF","General",TRUE
"azul gris","Q4928721","6699CC","General",TRUE
"azul grisáceo","Q42845936","708090","General",TRUE
"azul marino","Q5975887","000080","General",TRUE
"azul maya","Q901499","73C2FB","General",TRUE
"azul noche","Q947638","0F056B","General",TRUE
"azul oscuro","Q3641131","00008B","General",TRUE
"azul pavo real","Q3641130","004958","General",TRUE
"azul persa","Q2545722","1C39BB","General",TRUE
"azul petróleo","Q2906519","006374","General",TRUE
"azul turquesa","Q84430532","00FFEF","General",TRUE
"azul verde","Q646964","009C8C","General",TRUE
"azul verdoso","Q3375649","608070","General",TRUE
"azul violeta","Q16039699","324AB2","General",TRUE
"azul-violeta","Q14946424","8A2BE2","General",TRUE
"azure","Q373058","007FFF","General",TRUE
"añil","Q5967009","4B0082","General",TRUE
"beige","Q843607","F5F5DC","General",TRUE
"berenjena","Q1403218","614051","General",TRUE
"bermejo","Q4100014","80461B","General",TRUE
"bermejo","Q2419551","A52A2A","General",TRUE
"bermellón","Q737438","E34234","General",TRUE
"blanco","Q23444","FFFFFF","General",TRUE
"blanco","Q62391724","FFFFFF","General",TRUE
"blanco antiguo","Q3639443","FAEBD7","General",TRUE
"blanco de titanio","Q3639460","FFFEEF","General",TRUE
"blanco humo","Q22963968","F5F5F5","General",TRUE
"blanco litopón","Q18657742","FFFFFF","General",TRUE
"blanco navajo","Q1406286","FFDEAD","General",TRUE
"borgoña","Q797446","800020","General",TRUE
"bronce","Q2778382","CD7F32","General",TRUE
"bronceado","Q1670336","D2B48C","General",TRUE
"burdeos","Q10859033","800032","General",TRUE
"café","Q2932937","6F4E37","General",TRUE
"café cortado cósmico","Q2510690","FFF8E7","General",TRUE
"calabaza","Q2564184","FF7518","General",TRUE
"camello","Q17082553","C19A6B","General",TRUE
"canela","Q2936397","D27D2D","General",TRUE
"caoba","Q958012","C04000","General",TRUE
"caqui","Q650770","C3B091","General",TRUE
"cardenal","Q1426821","C41E3A","General",TRUE
"carmesí","Q303826","DC143C","General",TRUE
"carmín","Q10296772","960018","General",TRUE
"carmín de alizarina","Q4727574","E32636","General",TRUE
"castaño","Q2040833","954535","General",TRUE
"castaño claro","Q71404162","B5651D","General",TRUE
"celeste","Q373160","B2FFFF","General",TRUE
"cereza","Q2334511","DE3163","General",TRUE
"cerúleo","Q313120","007BA7","General",TRUE
"chartreuse","Q1153119","B2D63F","General",TRUE
"chocolate","Q3309916","7B3F00","General",TRUE
"cian","Q180778","00FFFF","General",TRUE
"cobre","Q2722041","B87333","General",TRUE
"concha","Q7441815","FFF5EE","General",TRUE
"coral","Q2411228","FF7F50","General",TRUE
"cordobán","Q5170059","893F45","General",TRUE
"crema","Q2730433","FFFDD0","General",TRUE
"durazno","Q5148721","FFE5B4","General",TRUE
"el verde saudí","Q131392587","005430","General",TRUE
"escarlata","Q2268159","FF2400","General",TRUE
"feldgrau","Q492192","4D5D53","General",TRUE
"frambuesa","Q3080423","E30B5C","General",TRUE
"fucsia","Q5005364","FF00FF","General",TRUE
"gamuza","Q972729","E8BD85","General",TRUE
"glauco","Q310115","79A0C1","General",TRUE
"granadina","Q3116435","E9383F","General",TRUE
"granate","Q25393814","800000","General",TRUE
"granate","Q244822","B30033","General",TRUE
"gris","Q17245659","707070","General",TRUE
"gris","Q42519","808080","General",TRUE
"gris acerado","Q3116788","AFAFAF","General",TRUE
"gris cadete","Q3776734","91A3B0","General",TRUE
"gris claro","Q24837023","D3D3D3","General",TRUE
"gris de Payne","Q3116794","536878","General",TRUE
"gris oscuro","Q25614085","404040","General",TRUE
"gris plateado","Q2285791","9C9496","General",TRUE
"grosella","Q3117006","CF0A1D","General",TRUE
"gutagamba","Q909115","E49B0F","General",TRUE
"herrumbre","Q543923","B7410E","General",TRUE
"humo","Q2906500","848884","General",TRUE
"hígado","Q536284","603C1A","General",TRUE
"iceberg","Q18627178","71A6D2","General",TRUE
"jade","Q628657","1B4D3E","General",TRUE
"jazmín","Q6161740","F8DE7E","General",TRUE
"ladrillo","Q2925617","842E1B","General",TRUE
"lava","Q6502169","CF1020","General",TRUE
"lavanda","Q2468392","B57EDC","General",TRUE
"lila","Q12894641","BF00FF","General",TRUE
"lima","Q906936","00FF00","General",TRUE
"limón","Q2720565","FFF700","General",TRUE
"lino","Q3116792","FAF0E6","General",TRUE
"llama","Q10747136","E25822","General",TRUE
"magenta","Q3276756","FF00FF","General",TRUE
"malva","Q604079","E0B0FF","General",TRUE
"marfil","Q1358981","FFFFF0","General",TRUE
"marrón","Q47071","964B00","General",TRUE
"marrón castaño","Q17122705","800000","General",TRUE
"marrón claro","Q79399164","704030","General",TRUE
"marrón claro","Q79483632","B5651D","General",TRUE
"marrón oscuro","Q17244894","600000","General",TRUE
"marrón oscuro","Q3985184","754909","General",TRUE
"marrón-oliva","Q19888352","645403","General",TRUE
"marrón-púrpura","Q19888381","67393F","General",TRUE
"maíz","Q3843568","FBEC5D","General",TRUE
"miel","Q1627085","BC9337","General",TRUE
"mirto","Q3858954","21421E","General",TRUE
"mora","Q218218","572364","General",TRUE
"morado claro","Q61600225","BF77F6","General",TRUE
"morado oscuro","Q19571398","301934","General",TRUE
"mostaza","Q1169566","FFDB58","General",TRUE
"naranja","Q39338","FF7F00","General",TRUE
"naranja-amarillento","Q16645086","FFAA33","General",TRUE
"negro","Q17244465","201010","General",TRUE
"negro","Q23445","000000","General",TRUE
"ocaso","Q11696368","FAD6A5","General",TRUE
"ocre","Q194191","CC7722","General",TRUE
"oro","Q208045","FFD700","General",TRUE
"pajizo","Q7622361","E4D96F","General",TRUE
"pardo claro","Q2138972","E5AA70","General",TRUE
"pardo rojizo","Q71405932","A52A2A","General",TRUE
"pervinca","Q2617229","CCCCFF","General",TRUE
"plata","Q317802","C0C0C0","General",TRUE
"pulga","Q2591774","CC8899","General",TRUE
"púrpura","Q3257809","800080","General",TRUE
"rojo","Q17126729","FF0000","General",TRUE
"rojo","Q3142","FF0000","General",TRUE
"rojo amapola","Q2996915","FF3800","General",TRUE
"rojo cobrizo","Q115863738","CB6D51","General",TRUE
"rojo de Falun","Q498423","801818","General",TRUE
"rojo de cadmio","Q3443208","E30022","General",TRUE
"rojo encarnado","Q3149822","FF6F7D","General",TRUE
"rojo indio","Q16831078","CD5C5C","General",TRUE
"rojo oscuro","Q5223370","8B0000","General",TRUE
"rojo persa","Q1168275","CC3333","General",TRUE
"rojo purpura","Q52367965","953553","General",TRUE
"rojo sangre","Q48988258","660000","General",TRUE
"rojo tráfico","Q2516404","C1121C","General",TRUE
"rojo violáceo","Q1402829","C71585","General",TRUE
"rojo-naranja","Q62058583","FF5349","General",TRUE
"rosa","Q429220","FFC0DB","General",TRUE
"rosa mexicano","Q6826076","F50087","General",TRUE
"rosa palo","Q19364263","DD969C","General",TRUE
"rosa vivo","Q533047","FF007F","General",TRUE
"rosso corsa","Q1632621","CC0000","General",TRUE
"rosáceo","Q22133966","DB5079","General",TRUE
"rubí","Q3446513","E0115F","General",TRUE
"rufo","Q7377969","A81C07","General",TRUE
"salmón","Q2015138","FA8072","General",TRUE
"salmón oscuro","Q90809293","E9967A","General",TRUE
"sangre de buey","Q2013559","730800","General",TRUE
"sepia","Q767608","704214","General",TRUE
"siena","Q899318","A0522D","General",TRUE
"sinopia","Q2303165","CB410B","General",TRUE
"tawny","Q2836489","CD5700","General",TRUE
"terracota","Q3518540","CC4E5C","General",TRUE
"tiziano","Q2906904","BD5620","General",TRUE
"tomate","Q6592940","FF6347","General",TRUE
"trigo","Q958363","F5DEB3","General",TRUE
"turquesa","Q5960345","40E0D0","General",TRUE
"turquí","Q10862356","122562","General",TRUE
"umbra","Q901731","635147","General",TRUE
"vainilla","Q7914921","F3E5AB","General",TRUE
"vara de oro","Q13550497","DAA520","General",TRUE
"verde","Q17122854","707020","General",TRUE
"verde","Q3133","00FF00","General",TRUE
"verde Lincoln","Q6551204","195905","General",TRUE
"verde Veronés","Q2266769","40826D","General",TRUE
"verde azulado","Q1078214","008080","General",TRUE
"verde claro","Q15141723","66FF00","General",TRUE
"verde de Dartmouth","Q18627185","00703C","General",TRUE
"verde esmeralda","Q2465494","009473","General",TRUE
"verde giallo","Q1406264","ADFF2F","General",TRUE
"verde laurel","Q22963919","A9BA9D","General",TRUE
"verde manzana","Q89190389","679267","General",TRUE
"verde oliva","Q864152","808000","General",TRUE
"verde oscuro","Q22963901","006400","General",TRUE
"verde pistacho","Q3389253","94C573","General",TRUE
"verde pálido","Q90878152","98FB98","General",TRUE
"verde-amarillo","Q22963960","ADFF2F","General",TRUE
"vino","Q3014419","722F37","General",TRUE
"violeta","Q27839441","AD5AFF","General",TRUE
"violeta","Q428124","7F00FF","General",TRUE
"zafiro","Q2294908","082567","General",TRUE
"ámbar","Q679355","FFBF00","General",TRUE
"Emerald Green","Q691510","50C878","Iridescent",TRUE
"Golden Green","Q5579480","FFDF00","Iridescent",TRUE
"Sapphire Blue","Q108183","0F52BA","Iridescent",TRUE
"Ruby Red","Q1120984","E0115F","Iridescent",TRUE
"Glittering Copper","Q5168705","AD6F69","Glittering",TRUE
"Fiery Orange","Q1378330","FF9408","Glittering",TRUE
"Violet","Q8063","8F00FF","Iridescent",TRUE
"Rufous","Q7377981","A81C07","Pigmentary",TRUE
"Cinnamon","Q1148100","D2691E","Pigmentary",TRUE
"Buff","Q4985885","F0DC82","Pigmentary",TRUE
"Sooty","Q7562417","121212","Pigmentary",TRUE
"Iridescent Purple","Q211140","6A0DAD","Iridescent",TRUE
